Time [s],Channel 1
19.138672327,1
19.141466083,0
19.141470750,1
19.141484917,0
19.141489500,1
19.141503667,0
19.141508333,1
19.141522500,0
19.141527083,1
19.141541250,0
19.141545833,1
19.141560083,0
19.141564667,1
19.141578833,0
19.141583417,1
19.141597667,0
19.141602250,1
19.141859500,0
19.141873250,1
19.141878417,0
19.141884417,1
19.141897250,0
19.141910083,1
19.141916083,0
19.141922083,1
19.141934833,0
19.141940750,1
19.141953583,0
19.141967333,1
19.141972417,0
19.141978333,1
19.141991167,0
19.142004917,1
19.146236000,0
19.146250000,1
19.146255000,0
19.146259417,1
19.146273667,0
19.146287583,1
19.146292583,0
19.146306333,1
19.146311417,0
19.146325167,1
19.146330250,0
19.146343917,1
19.146349083,0
19.146362750,1
19.146367833,0
19.146372167,1
19.146386333,0
19.146400333,1
19.146405333,0
19.146419083,1
19.146424167,0
19.146437833,1
19.146443000,0
19.146456667,1
19.146461750,0
19.146475417,1
19.146480583,0
19.146494250,1
19.146499333,0
19.146513000,1
19.146518167,0
19.146531833,1
19.146536917,0
19.146541250,1
19.146555500,0
19.146569417,1
19.146574417,0
19.146588167,1
19.146593333,0
19.146607000,1
19.146612083,0
19.146625750,1
19.146630917,0
19.146644583,1
19.146649667,0
19.146663333,1
19.146668500,0
19.146682167,1
19.146687250,0
19.146691583,1
19.146705750,0
19.146719667,1
19.146724750,0
19.146738500,1
19.146743583,0
19.146757250,1
19.146762417,0
19.146776083,1
19.146781167,0
19.146794833,1
19.146800000,0
19.146813667,1
19.146818750,0
19.146832417,1
19.146837583,0
19.146841917,1
19.146856083,0
19.146870000,1
19.146875083,0
19.146879500,1
19.146893667,0
19.146898250,1
19.146912500,0
19.146917083,1
19.146931250,0
19.146945167,1
19.146950167,0
19.146963917,1
19.146969083,0
19.146982750,1
19.146987833,0
19.146992167,1
19.147006417,0
19.147011000,1
19.147025167,0
19.147039083,1
19.147044167,0
19.147057917,1
19.147063000,0
19.147076667,1
19.147081750,0
19.147095500,1
19.147100583,0
19.147114250,1
19.147119333,0
19.147133083,1
19.147138167,0
19.147151833,1
19.147156917,0
19.147161250,1
19.147175500,0
19.147180083,1
19.147194250,0
19.147208167,1
19.147213250,0
19.147217667,1
19.147231833,0
19.147245750,1
19.147250833,0
19.147255250,1
19.147269417,0
19.147283333,1
19.147288333,0
19.147292833,1
19.147307000,0
19.147320917,1
19.147325917,0
19.147339750,1
19.147344833,0
19.147358500,1
19.147363583,0
19.147368000,1
19.147382167,0
19.147386750,1
19.147400917,0
19.147414833,1
19.147419917,0
19.147433667,1
19.147438750,0
19.147452417,1
19.147457583,0
19.147471250,1
19.147476333,0
19.147490000,1
19.147495167,0
19.147508833,1
19.147513917,0
19.147518250,1
19.147532500,0
19.147537083,1
19.147551250,0
19.147565167,1
19.147570250,0
19.147584000,1
19.147589083,0
19.147602750,1
19.147607833,0
19.147621583,1
19.147626667,0
19.147640333,1
19.147645500,0
19.147659167,1
19.147664250,0
19.147668583,1
19.147682750,0
19.147687417,1
19.147701583,0
19.147715500,1
19.147720500,0
19.147734333,1
19.147739417,0
19.147753083,1
19.147758167,0
19.147771917,1
19.147777000,0
19.147781333,1
19.147795500,0
19.147809417,1
19.147814500,0
19.147818917,1
19.147833083,0
19.147837667,1
19.147851917,0
19.147865833,1
19.147870833,0
19.147884583,1
19.147889667,0
19.147903417,1
19.147908500,0
19.147912833,1
19.147927000,0
19.147941000,1
19.147946000,0
19.147959750,1
19.147964833,0
19.147969167,1
19.147983417,0
19.147988000,1
19.148002167,0
19.148016083,1
19.148021167,0
19.148034917,1
19.148040000,0
19.148053667,1
19.148058833,0
19.148063167,1
19.148077333,0
19.148081917,1
19.148096167,0
19.148110083,1
19.148115083,0
19.148119500,1
19.148133667,0
19.148138333,1
19.148152500,0
19.148166417,1
19.148171417,0
19.148185167,1
19.148190250,0
19.148194667,1
19.148208833,0
19.148222750,1
19.148227833,0
19.148241583,1
19.148246667,0
19.148260333,1
19.148265417,0
19.148269833,1
19.148284000,0
19.148288583,1
19.148302833,0
19.148316750,1
19.148321750,0
19.148335500,1
19.148340583,0
19.148354250,1
19.148359417,0
19.148363750,1
19.148377917,0
19.148382500,1
19.148396750,0
19.148401333,1
19.148415500,0
19.148420083,1
19.148434333,0
19.148448250,1
19.148453250,0
19.148467000,1
19.148472083,0
19.148485833,1
19.148490917,0
19.148504583,1
19.148509667,0
19.148514000,1
19.148528250,0
19.148532833,1
19.148547000,0
19.148551583,1
19.148565833,0
19.148570417,1
