Time [s],Channel 1
5.991872702,1
5.994249917,0
5.994254583,1
5.994268750,0
5.994273333,1
5.994287500,0
5.994292083,1
5.994306250,0
5.994310833,1
5.994325000,0
5.994329667,1
5.994343833,0
5.994348417,1
5.994362583,0
5.994367167,1
5.994381333,0
5.994386000,1
5.994643083,0
5.994657000,1
5.994662000,0
5.994668083,1
5.994680833,0
5.994693833,1
5.994699667,0
5.994705667,1
5.994718417,0
5.994724417,1
5.994737167,0
5.994749250,1
5.994756000,0
5.994762000,1
5.994774750,0
5.994787083,1
5.999017667,0
5.999031583,1
5.999036667,0
5.999041000,1
5.999055250,0
5.999069167,1
5.999074167,0
5.999087917,1
5.999093000,0
5.999106667,1
5.999111833,0
5.999125500,1
5.999130583,0
5.999144250,1
5.999149417,0
5.999153750,1
5.999167917,0
5.999181833,1
5.999186917,0
5.999200583,1
5.999205750,0
5.999219417,1
5.999224500,0
5.999238167,1
5.999243333,0
5.999256917,1
5.999262083,0
5.999275750,1
5.999280833,0
5.999294500,1
5.999299667,0
5.999313333,1
5.999318417,0
5.999322750,1
5.999336917,0
5.999350833,1
5.999355917,0
5.999369667,1
5.999374750,0
5.999388417,1
5.999393583,0
5.999407250,1
5.999412333,0
5.999426000,1
5.999431167,0
5.999444833,1
5.999449917,0
5.999463583,1
5.999468667,0
5.999473000,1
5.999487250,0
5.999501167,1
5.999506167,0
5.999519917,1
5.999525000,0
5.999538750,1
5.999543833,0
5.999557500,1
5.999562583,0
5.999576250,1
5.999581417,0
5.999595083,1
5.999600167,0
5.999613833,1
5.999619000,0
5.999623250,1
5.999637500,0
5.999651417,1
5.999656417,0
5.999660833,1
5.999675083,0
5.999679667,1
5.999693833,0
5.999698417,1
5.999712667,0
5.999726500,1
5.999731583,0
5.999745333,1
5.999750417,0
5.999764083,1
5.999769250,0
5.999773583,1
5.999787750,0
5.999792333,1
5.999806500,0
5.999820417,1
5.999825500,0
5.999839250,1
5.999844333,0
5.999858000,1
5.999863083,0
5.999876833,1
5.999881917,0
5.999895583,1
5.999900667,0
5.999914333,1
5.999919500,0
5.999933167,1
5.999938250,0
5.999942583,1
5.999956750,0
5.999961333,1
5.999975583,0
5.999989500,1
5.999994500,0
5.999998917,1
6.000013083,0
6.000027000,1
6.000032083,0
6.000036500,1
6.000050667,0
6.000064583,1
6.000069583,0
6.000074083,1
6.000088250,0
6.000102167,1
6.000107167,0
6.000120917,1
6.000126000,0
6.000139750,1
6.000144833,0
6.000149167,1
6.000163333,0
6.000167917,1
6.000182167,0
6.000196083,1
6.000201083,0
6.000214833,1
6.000219917,0
6.000233583,1
6.000238750,0
6.000252417,1
6.000257500,0
6.000271167,1
6.000276333,0
6.000290000,1
6.000295083,0
6.000299417,1
6.000313583,0
6.000318167,1
6.000332417,0
6.000346333,1
6.000351333,0
6.000365083,1
6.000370167,0
6.000383833,1
6.000389000,0
6.000402667,1
6.000407750,0
6.000421417,1
6.000426583,0
6.000440250,1
6.000445333,0
6.000449667,1
6.000463833,0
6.000468417,1
6.000482667,0
6.000496583,1
6.000501583,0
6.000515333,1
6.000520417,0
6.000534167,1
6.000539250,0
6.000552917,1
6.000558000,0
6.000562333,1
6.000576583,0
6.000590500,1
6.000595500,0
6.000599917,1
6.000614083,0
6.000618667,1
6.000632917,0
6.000646833,1
6.000651833,0
6.000665583,1
6.000670667,0
6.000684417,1
6.000689500,0
6.000693833,1
6.000708000,0
6.000721917,1
6.000727000,0
6.000740750,1
6.000745833,0
6.000750167,1
6.000764333,0
6.000769000,1
6.000783167,0
6.000797083,1
6.000802083,0
6.000815833,1
6.000820917,0
6.000834667,1
6.000839750,0
6.000844083,1
6.000858250,0
6.000862833,1
6.000877083,0
6.000891000,1
6.000896000,0
6.000900417,1
6.000914583,0
6.000919167,1
6.000933417,0
6.000947333,1
6.000952333,0
6.000966083,1
6.000971167,0
6.000975583,1
6.000989750,0
6.001003667,1
6.001008667,0
6.001022417,1
6.001027500,0
6.001041250,1
6.001046333,0
6.001050667,1
6.001064833,0
6.001069417,1
6.001083667,0
6.001097583,1
6.001102583,0
6.001116333,1
6.001121417,0
6.001135083,1
6.001140250,0
6.001144583,1
6.001158750,0
6.001163333,1
6.001177500,0
6.001182083,1
6.001196333,0
6.001200917,1
6.001215083,0
6.001229000,1
6.001234000,0
6.001247750,1
6.001252833,0
6.001266583,1
6.001271667,0
6.001285333,1
6.001290417,0
6.001294833,1
6.001309000,0
6.001313583,1
6.001327750,0
6.001332333,1
6.001346583,0
6.001351167,1
6.001365333,0
6.001379250,1
6.001384250,0
6.001398000,1
6.001403083,0
6.001416833,1
6.001421917,0
6.001435583,1
6.001440667,0
6.001445000,1
6.001459250,0
6.001463833,1
6.001478000,0
6.001482583,1
6.001496750,0
6.001501333,1
6.001515583,0
6.001529500,1
6.001534500,0
6.001548250,1
6.001553333,0
6.001567000,1
6.001572167,0
6.001585833,1
6.001590917,0
6.001595250,1
6.001609417,0
6.001614083,1
6.001628250,0
6.001632833,1
6.001647000,0
6.001651583,1
6.001665833,0
6.001679750,1
6.001684750,0
6.001698500,1
6.001703583,0
6.001717250,1
6.001722333,0
6.001736083,1
6.001741167,0
6.001745500,1
6.001759667,0
6.001764250,1
6.001778500,0
6.001783083,1
6.001797250,0
6.001801833,1
6.001816083,0
6.001830000,1
6.001835000,0
6.001848750,1
6.001853833,0
6.001867500,1
6.001872583,0
6.001886333,1
6.001891417,0
6.001895750,1
6.001909917,0
6.001914583,1
6.001928750,0
6.001933333,1
6.001947500,0
6.001952083,1
6.001966333,0
6.001980250,1
6.001985250,0
6.001999000,1
6.002004083,0
6.002017750,1
6.002022833,0
6.002036583,1
6.002041667,0
6.002046000,1
6.002060167,0
6.002064750,1
6.002079000,0
6.002083583,1
6.002097750,0
6.002102333,1
6.002116583,0
6.002130500,1
6.002135500,0
6.002149250,1
6.002154333,0
6.002168000,1
6.002173083,0
6.002177500,1
6.002191667,0
6.002196250,1
6.002210500,0
6.002224333,1
6.002229417,0
6.002243167,1
6.002248250,0
6.002261917,1
6.002267000,0
6.002280750,1
6.002285833,0
6.002290167,1
6.002304333,0
6.002318250,1
6.002323333,0
6.002337083,1
6.002342167,0
6.002346500,1
6.002360667,0
6.002365333,1
6.002379500,0
6.002384083,1
6.002398250,0
6.002412167,1
6.002417167,0
6.002431000,1
6.002436083,0
6.002449750,1
6.002454833,0
6.002468500,1
6.002473667,0
6.002487333,1
6.002492417,0
6.002506083,1
6.002511167,0
6.002524917,1
6.002530000,0
6.002543667,1
6.002548750,0
6.002562417,1
6.002567583,0
6.002581250,1
6.002586333,0
6.002600000,1
6.002605083,0
6.002618750,1
6.002623917,0
6.002628250,1
6.002642417,0
6.002647000,1
6.002661250,0
6.002665833,1
6.002680000,0
6.002693917,1
6.002698917,0
6.002712667,1
6.002717750,0
6.002722167,1
6.002736333,0
6.002750250,1
6.002755250,0
6.002769083,1
6.002774083,0
6.002787833,1
6.002792917,0
6.002797250,1
6.002811500,0
6.002816083,1
6.002830250,0
6.002844167,1
6.002849167,0
6.002862917,1
6.002868083,0
6.002881750,1
6.002886833,0
6.002900500,1
6.002905667,0
6.002919333,1
6.002924417,0
6.002938083,1
6.002943167,0
6.002956833,1
6.002962000,0
6.002966333,1
6.002980500,0
6.002994417,1
6.002999500,0
6.003013250,1
6.003018333,0
6.003032000,1
6.003037083,0
6.003050750,1
6.003055917,0
6.003069583,1
6.003074667,0
6.003079000,1
6.003093167,0
6.003107083,1
6.003112167,0
6.003125917,1
6.003131000,0
6.003144667,1
6.003149750,0
6.003163417,1
6.003168583,0
6.003172917,1
6.003187083,0
6.003191667,1
6.003205917,0
6.003210500,1
6.003224667,0
6.003238583,1
6.003243583,0
6.003248000,1
6.003262167,0
6.003276083,1
6.003281167,0
6.003294917,1
6.003300000,0
6.003313667,1
6.003318750,0
6.003323167,1
6.003337333,0
6.003351250,1
6.003356250,0
6.003370000,1
6.003375083,0
6.003379500,1
6.003393667,0
6.003398250,1
6.003412417,0
6.003426333,1
6.003431417,0
6.003445167,1
6.003450250,0
6.003463917,1
6.003469000,0
6.003473417,1
6.003487583,0
6.003501500,1
6.003506500,0
6.003520250,1
6.003525333,0
6.003539083,1
6.003544167,0
6.003557833,1
6.003562917,0
6.003567333,1
6.003581500,0
6.003595417,1
6.003600417,0
6.003614167,1
6.003619250,0
6.003633000,1
6.003638083,0
6.003651750,1
6.003656833,0
6.003670500,1
6.003675667,0
6.003680000,1
6.003694167,0
6.003698750,1
6.003713000,0
6.003726833,1
6.003731917,0
6.003736333,1
6.003750500,0
6.003755083,1
6.003769333,0
6.003783250,1
6.003788250,0
6.003802000,1
6.003807083,0
6.003820750,1
6.003825917,0
6.003839583,1
6.003844667,0
6.003849000,1
6.003863250,0
6.003867833,1
6.003882000,0
6.003886583,1
6.003900750,0
6.003914667,1
6.003919750,0
6.003933500,1
